year,season_highlights,world_series,all_star_game
1945,"In an effort to hasten the Pacific campaign, the United States Air Force dropped the world's first Atomic Bomb on Hiroshima, destroying the entire city and killing over seventy-thousand people. Three days later a second bomb was dropped on the city of Nagasaki with similar results. Realizing that further resistance was futile, the Japanese government finally agreed to terms of surrender aboard the Battleship U.S.S. Missouri in Tokyo Harbor marking the absolute end of WWII.","On October 23rd, Brooklyn Dodgers owner Branch Rickey announced the signing of Jackie Robinson as the first African-American to play in the Major Leagues. Over the course of a distinguished ten year career, Robinson went go on to lead the Dodgers to six National League titles and one World Series championship. A man of many ""firsts"", Robinson also became the first black player to be inducted into the Baseball Hall of Fame in 1962.",Major League owners decided to cancel the 1945 All-Star Game due to wartime travel restrictions. Eight simultaneous games were scheduled in place of the Midsummer Classic pitting the National and American Leagues against one another in interleague play.
1946,The Chicago White Sox became the first Major League team to provide an official Media Guide for the baseball writers. The seventeen-page publication had been developed by Marsh Samuel and listed individual player and team information as well as limited statistical data. Bill Veeck was so impressed by the concept; he hired Samuel himself to develop a similar guide for the Cleveland Indians.,,
1947,Larry Doby became the first African-American to play in the American League after appearing as a pinch-hitter for the Cleveland Indians on July 5th during a 6-5 loss to the Chicago White Sox. The following day he started at first base and went one-for-five at the plate.,,
1948,The Cleveland Indians were accused of pulling a publicity stunt after signing the Negro League's greatest pitcher Satchel Paige to a Major League contract. The forty-two year-old veteran answered all of his critics after going on to post a 6-1 record as the oldest player ever to debut in the majors.,,
1959,Cleveland's Rocky Colavito hit four consecutive home runs at Baltimore's Memorial Stadium en route to an 11-8 victory over the home team Orioles. The Indian slugger joined Lou Gehrig and Bobby Lowe as the only Major League players ever to hit four consecutive round-trippers.,,1959 All-Star Game | 1959 Team Standings | 1959 World Series
1960,"On Opening Day, ""Teddy Baseball"" (Ted Williams) tied the ""Iron Horse"" (Lou Gehrig) with the 493rd home run of his career. The 500' blast in his first at-bat remained the only bright moment for Boston as the Washington Senators' Camilo Pascual struck out 11 Red Sox batters on the way to a 10-1 victory. Williams hit number 500 later that season with a 3-1 win over the Cleveland Indians on June 17.","Baseball's greatest defensive player became baseball's greatest offensive player with a single at-bat during the Pittsburgh Pirates versus New York Yankees World Series. After being statistically dominated by their American League rivals for six outings, the National League champions found themselves with their backs against the wall at Forbes Field for Game 7. Stats mattered little in the end though as second baseman Bill Mazeroski stepped up to the plate (in the bottom of the ninth) and delivered a desperate, bases-empty home run for the 10-9 victory and the first Pirates World Championship in thirty-five years.",1960 All-Star Game | 1960 Team Standings | 1960 World Series
1961,"In response to the rash of home runs around the league, both American League President Joe Cronin and National League President Warren Giles agreed to order tests to determine if the ""1961 baseball"" was ""livelier"" than those of past seasons. The investigation conducted by technologists at Foster D. Snell Inc. concluded that the ball was slightly larger and several ounces lighter than the one used by Babe Ruth in the 1920s.",,1961 All-Star Game | 1961 Team Standings | 1961 World Series
1962,"In February, astronaut Alan Shepard became the first American in orbit and John Glenn followed later that year as the first to travel into space after a fifteen minute flight on July 21st. Both missions were in preparation of meeting President Kennedy's goal of landing a man on the moon by the end of the decade.",,"After several years of ""double-headers"", both players and owners agreed to return the All-Star Game to its original, one-game format in 1963."
1963,"Cleveland pitcher Early Wynn finally won his 300th (and final) game thanks to a little help from the Indian's bullpen. After losing eight straight and struggling through five innings during the second half of a Kansas City doubleheader, Wynn was replaced by relief man Jerry Walker who tossed four scoreless sides en route to a 7-4 win over the Athletics.",,St. Louis Cardinals' slugger Stan Musial made a record 24th All-Star Game appearance as his National League teammates combined to beat their American League counterparts 5-3 in the Midsummer Classic.
1964,"American's first computer dynasty International Business Machines (also known as IBM) introduced the first 360 Computer, which was defined as a second-generation system based on transistors. The groundbreaking machine was instantly heralded as a huge success and became the standard for computers of many businesses for many years.",,1964 All-Star Game | 1964 Team Standings | 1964 World Series
1965,"Controversial civil rights activist Malcolm Little, also known as ""Malcolm X"", was assassinated while delivering a speech at the OAAU rally in the Audubon Ballroom in Harlem on February 21st. The Islamic minister had become an inspirational leader alongside Dr. Martin Luther King after breaking ties with the Nation of Islam in order to create his own religious community known as Muslim Mosque, Inc., and later the Organization of Afro-American Unity.",,1965 All-Star Game | 1965 Team Standings | 1965 World Series
1966,"Major League Baseball's first African-American umpire, Emmett Ashford made his debut on Opening Day as the American League's Washington Senators lost to the visiting Cleveland Indians 5-2.",,1966 All-Star Game | 1966 Team Standings | 1966 World Series
1967,"On August 6, 1967, Dean Chance of Minnesota pitched 5 perfect innings of baseball. Rain halted the game and his shot a perfect game ended. 19 days later, on August 25, 1967, Chance missed perfection again, but still tossed a 2-1 no hitter versus the Cleveland Indians.",,"Tony Perez ended the longest All-Star Game in Major League history (fifteen innings) to date after launching a home run off ""Catfish"" Hunter for the 2-1 National League victory. Despite the game-winning hit, pitching reigned supreme at this Midsummer Classic as Ferguson Jenkins of the National League struck out seven, the American League allowed no walks and both leagues combined for thirty total strikeouts."
1968,"On September 22, Cesar Tovar of the Minnesota Twins accomplished a rare and remarkable feat, becoming just the second player in MLB history to play all nine positions in a single game—matching the legendary performance of Bert Campaneris in 1965. In a twist of fate, the first batter Tovar faced as a pitcher was none other than Campaneris himself, who fouled out in his opening at-bat. Despite the historic spectacle, the Twins fell to the visiting Oakland Athletics in a tight 2-1 contest.",,1968 All-Star Game | 1968 Team Standings | 1968 World Series
1969,"On the night of August 9th, several members of a hippie cult led by self-proclaimed messiah Charles Manson brutally murdered actress Sharon Tate and four others in her Beverly Hills mansion. The next evening Leno and Rosemary LaBianca, wealthy owners of a grocery chain, were also brutally attacked in their Los Angeles home. Initially the crimes were not connected even though victims in both cases had suffered from multiple stab wounds and the words ""pig"" and ""Helter Skelter"" were written in blood all over both crime scenes.",,1969 All-Star Game | 1969 Team Standings | 1969 World Series
1970,"After large numbers of North Vietnamese troops entered Cambodia in 1969. Premier Lon Nol assumed control of the government, while Prince Sihanouk was in Peking, and pledged to force the removal of the occupying military. Initially, the invaders agreed to withdraw, but then announced their support for Sihanouk, who had promised to fight the new government. President Nixon announced that U.S. troops would join with South Vietnamese troops to invade the border areas of Cambodia and eliminate all Communist sanctuaries.",,"All-Star Game voting was finally returned to the fans as punch-card ballots debuted in major league ballparks across the nation. It was the first time since 1958 that the exhibition's squads were not entirely selected by managers, coaches and players."
1971,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,1971 All-Star Game | 1971 Team Standings | 1971 World Series
1972,"LIFE, the blueprint for magazine publishing in America folded as a weekly in December of 1972. Though the weekly version's life span covered only thirty-seven years, it is impossible to think of any other magazine that had such an extraordinary impact on the art of photo-journalism. Debuting in 1936, Henry R. Luce and his colleagues at Time Inc. decided to publish a magazine that would take pictures and words to an unprecedented level. Up to then, most newsworthy imagery had been deliberately posed and static, but after the portable 35mm camera was developed in the 1930s, it was discovered that a skilled photographer could take pictures of almost anything, anywhere; at anytime. Most magazines had been built around editors and writers, but LIFE was very different, as it was entirely been built around its photographers.","Unfortunately, Clemente was killed in a plane crash while on a humanitarian mission that was taking supplies to earthquake victims in Nicaragua. The DC-7 aircraft he was flying in went down off the coast of Puerto Rico one-mile from San Juan with no survivors. The four time National League batting champion was only thirty-eight years old and had just won a World Series championship in 1971. As a tribute, he was elected on a special consideration to the National Baseball Hall of Fame with a 93% vote becoming the first Latin American to be inducted into Cooperstown.",1972 All-Star Game | 1972 Team Standings | 1972 World Series
1973,"Nolan Ryan, who pitched two no-hitters in 1973, had another memorable game on September 27, 1973. During that game versus the Twins, Ryan struck out Steve Brye during the eighth inning to tie Sandy Koufax's single season record for strikeouts (382). In the eleventh inning, with two outs and two strikes on Rich Reese, Ryan fired his last pitch of the season and fanned Reese to set a new single season strikeout record.",,1973 All-Star Game | 1973 Team Standings | 1973 World Series
1974,"""Ten-Cent Beer Night"" in Cleveland backfired after drunken and disorderly fans stumbled onto the field of play causing the Indians to forfeit the game to the Texas Rangers. With a five-all score in the ninth, Tribe fans poured onto the field and surrounded outfielder Jeff Burroughs while trying to take his hat and glove for souvenirs. After players from both sides rushed to his aid, the game was called in favor of the visitors.",,1974 All-Star Game | 1974 Team Standings | 1974 World Series
1990,Eddie Murray of the Los Angeles Dodgers homered from both sides of the plate during a 6-2 win over the San Francisco Giants. In doing so he became the first major leaguer to pull the feat in both the National and American Leagues.,,
1991,"In February, the Gulf War conflict between Iraqi dictator Saddam Hussein and a coalition of thirty-two nations including the United States, Britain, Egypt, France, and Saudi Arabia took place. The main coalition forces invaded southern Iraq on February 24 and, over the next four days, encircled and defeated the Iraqis while liberating Kuwait. By the time U.S. President George Bush Sr. declared a cease-fire on February 28, most of Hussein's forces had either surrendered or fled.",,Basketball icon Magic Johnson stunned the world shortly before the start of the 1991 season after announcing his retirement due to testing positive to the HIV Virus. He later accepted an invitation by the NBA players to his twelfth All-Star Game in which he won the MVP honors.
1992,"Nolan Ryan, of the Texas Rangers, struck out his 100th batter for a record twenty-third year in a row. In doing so, he passed Phil Niekro as number twelve on the all-time win list with three-hundred nineteen victories.",,
1993,"After an unsuccessful raid by the U.S. Bureau of Alcohol, Tobacco and Firearms on David Koresh's Branch Davidian compound at Waco, Texas, the FBI and U.S. Army took over, mounting a fifty-one day siege. The standoff ended in tragedy when a fire broke out as government agents attempted to storm the compound. In the end, all seventy four cult members inside perished.",,
1994,"A major earthquake, measuring 6.7 on the Richter Scale, struck the densely populated San Fernando Valley in northern Los Angeles. In the aftermath, fifty-seven people were killed, 1,500 were injured and over 12,500 buildings were damaged.",,
1995,"On September 8th, the Cleveland Indians clinched the American League Central Division after their one-hundred twenty-third game of the season. The feat marked the fastest that any team had ever won a title and moved the Tribe ahead in the American League race by a staggering 23½ games over their closest competitor, the Kansas City Royals.",,
1996,"As the Seattle Mariners hosted the Cleveland Indians on May 2nd, an earthquake, measuring 4.8 on the Richter scale, rattled the Kingdome causing the officials to suspend the game. The incident occurred in the seventh inning as the Tribe led 6-3 and after the stadium's structure was thoroughly inspected, play resumed the following day.",,
1997,"Lady Diana, the Princess of Wales, and her male companion Dodi Fayed died in a fatal car accident near the River Seine in Paris, France. As a fitting tribute at Diana's funeral Sir Elton John sang Goodbye England's Rose, a reworking of the tune Candle In the Wind, which he had written earlier about Marilyn Monroe.",,
1998,"The Oakland Athletics Rickey Henderson scored the 2,000th run of his career in the A's 15-6 loss to the Cleveland Indians. In doing so, he joined Ty Cobb, Hank Aaron, Babe Ruth, Pete Rose, and Willie Mays as the only players to reach the milestone.",,
1999,"In a surprise move, the New York Yankees traded pitcher David Wells to the Toronto Blue Jays for five-time Cy Young winner Roger Clemens. Both are later reunited in pinstripes on the same Yankee rotation.",,
2000,"After years of delays, the International Space Station was finally operating in orbit thanks to a combined effort of technological resources from the U.S., Canada, Japan, Russia, eleven nations of the European Space Agency and Brazil.",,
2011,"The New York Mets agreed to sell a minority, non-operating investment in the team to David Einhorn, president of Greenlight Capital Inc., for $200 million, pending the completion of exclusive negotiations and approval by Major League Baseball owners. The deal gave him a one-third stake in the team and he has an option to own sixty percent in three years.",,2011 All-Star Game | 2011 Team Standings | 2011 World Series
2012,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family","The St. Louis Cardinals defeated the renamed Miami Marlins 4-1 in the first regular-season game at Marlins Park. The ceremonial first pitch is thrown by Muhammad Ali, who won his first of three heavyweight boxing championships by defeating Sonny Liston in Miami in 1964.","New York Mets COO Jeff Wilpon, Major League Baseball Commissioner Bud Selig, New York City Mayor Michael Bloomberg and owner Fred Wilpon announced that the 2013 All-Star Game will be held at Citi Field."
2013,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family","""A day after getting swept from the World Series, the Detroit Tigers were installed as betting favorites to win Major League Baseball's championship in 2013."" - Bloomberg (10/30/2012, Tigers Favored to Win 2013 Baseball World Series, Yankees Second, Source)",Do you know the first year the American League won the World Series? How about the first year they won an All-Star Game?
2014,"The Cleveland Indians broke the record set by the 2013 Detroit Tigers for strikeouts in a season by a pitching staff when Corey Kluber struck out David DeJesus in the eighth inning of a game on September 26, 2014. It was the Indians 1,429th strikeout of the season, breaking the tie with the Tigers, and they finished the year with 1,450.",,2014 All-Star Game | Team Standings | 2014 World Series
2015,"Interleague play remains and each team is scheduled to play 20 interleague games. The matchups for the season will be the AL East vs NL East, AL Central vs NL Central and AL West vs NL West.",,"The Great American Ballpark in Cincinnati, Ohio, home of the National League Cincinnati Reds, will be hosting the Major League Baseball All-Star Game, scheduled for Tuesday, July 14, 2015."
2016,"The Cleveland Indians defeated the Toronto Blue Jays in the 2016 ALCS despite hitting just .168, setting a Major League record for the lowest batting average for a winning team in a postseason series. When they defeated the Chicago Cubs 1–0 in Game 3 of the 2016 World Series, it was their fifth shutout of the postseason, also a Major League record!","""It might as well be a matchup from a movie: the two teams with the longest title droughts in baseball paired in the same World Series. No wonder, then, that Joe Maddon has watched Field of Dreams since his Chicago Cubs clinched the National League pennant. 'I cry easily,' said Maddon, the Cubs’ manager. 'So the connection to the past is very important.' To loosely quote the script, the memories could be so thick at this World Series, the fans will have to swat them away from their faces. The Cubs have gone 108 years without a championship. The Cleveland Indians have gone 68. No other team in baseball has come close to so many consecutive unfulfilled seasons. 'The baseball gods are really happy right now,' the Indians' Mike Napoli said. 'I wanted the Cubs to win, just because I knew how cool it would be to be a part of it. I think it's going to be a special World Series. There's two droughts, and there’s going to be a winner.'"" - New York Times Staff Writer Tyler Kepner (10/24/2016, World Series Preview: For Cubs or Indians, Decades of Waiting Are Nearly Over, Source)","The Major League Baseball All-Star Game's 87th edition was played on July 12, 2016, at Petco Park in San Diego, California, home of the San Diego Padres. The American League, who won the All-Star Game 4–2, also won home-field advantage in the 2016 World Series."
2017,"In March 2017, the following Major League Baseball rule changes went into affect, after being ratified by the Major League Baseball Players Association:",,"The 88th Major League Baseball All-Star Game was played on July 11, 2017, at Marlins Park, the home of the Miami Marlins. For the first time since 2002, when the game ended in a tie, the All Star Game would not determine home field advantage for the World Series. Instead, home field advantage will be awarded to the team with the better regular season record."
2018,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family","The year started with some history making news in the National Football League as the Philadelphia Eagles won their first Super Bowl in franchise history, defeating the heavily favored (yet again) New England Patriots, 41-33, in Super Bowl LII, ending a 57-year championship drought.","The 89th Major League Baseball All-Star Game will be held on July 17, 2018, at Nationals Park, the home of the Washington Nationals."
2019,"The Cleveland Indians agreed to stop using their ""Chief Wahoo"" logo on January 29, 2018. On November 19, 2018, the team unveiled new uniforms excluding the Chief Wahoo logo, as well as new hats with red brims for home games, a new red-colored home alternate jersey (marking the team's first red jersey since the 1970s), and sleeve patches commemorating their hosting of the 2019 All-Star Game.",,"The Cleveland Indians agreed to stop using their ""Chief Wahoo"" logo on January 29, 2018. On November 19, 2018, the team unveiled new uniforms excluding the Chief Wahoo logo, as well as new hats with red brims for home games, a new red-colored home alternate jersey (marking the team's first red jersey since the 1970s), and sleeve patches commemorating their hosting of the 2019 All-Star Game."
2020,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,"The 91st Major League Baseball All-Star Game was scheduled for July 14, 2020, in Dodger Stadium, home of the Los Angeles Dodgers. On July 3, 2020, the All-Star Game was cancelled, and awarded back to the Dodgers in 2022."
2021,"The 2021 season was the last where Cleveland's team competed as the Indians, replacing their 106-year-old team name. On December 14, 2020, the franchise announced they would unveil a new moniker, uniform, and stadium changes before the 2022 season.",,"The ninety-first All-Star Game was scheduled for July 13, 2021, at Truist Park in Atlanta, Georgia. On April 2, 2021, Major League Baseball moved the game out of Atlanta, in protest of the passage of a controversial voting law. On April 6, 2021, MLB selected hitter-friendly Coors Field, in Denver, Colorado, as the new host of the Midsummer Classic."
2022,The United Nations declared 2022 as the International Year of Artisanal Fisheries and Aquaculture and the International Year of Glass.,"On April 7, 2022, the Atlanta Braves held a ring-ceremony at Truist Field to celebrate their world championship title during the 2021 World Series.",2022 All-Star Game | 2022 Team Standings | 2022 World Series
2023,"Management changes in the junior circuit included two General Manager changes; Scott Harris took over with the Detroit Tigers, and Justin Hollander is the new Seattle Mariners GM. In the dugout, Phil Nevin is no longer an interim skipper, and now has the helm with the Los Angeles Angels, John Schneider replaced Charlie Montoya as manager of the Toronto Blue Jays, Bruce Bochy replaced Chris Woodward with the Texas Rangers, and Pedro Grifol replaced the retiring hall of famer, Tony La Russa, with the Chicago White Sox.","""Way-too-early Power Rankings, New Year's edition: 1. Astros. Repeating as World Series champions isn't easy, but the Astros probably deserve the benefit of the doubt. They've played in six straight AL Championship Series. They've won the World Series twice in that span. They have a starting staff that is six deep, which enabled them to let Justin Verlander, the AL Cy Young Award winner, leave for the Mets -- simply because they don't really need him. The 'World Series hangover' likely won't apply this year, considering Houston played two games over the minimum in the postseason and had multiple days of rest between each round. Though the AL West has improved in some areas -- the Mariners will be strong again, and the Rangers took measures to improve -- the Astros, again, will be the favorites to nab another division title."" - Footer, Alyson. MLB Staff Writer. Here are the first Power Rankings of 2023. 1 January 2023.","The 93rd All-Star Game was played on July 11, 2023. It was hosted by the Seattle Mariners at T-Mobile Park in Seattle, Washington. Philadelphia Phillies manager Rob Thomson managed the National League team, while Houston Astros manager Dusty Baker managed the American League team."
