year,category,rank,player,team,value
1885,,Games,Ed Morris,Pittsburgh,63
1885,,Saves,Oyster Burns,Baltimore,3
1885,,Shutouts,Ed Morris,Pittsburgh,7
1885,,Strikeouts,Ed Morris,Pittsburgh,298
1885,,Winning Percentage,Bob Caruthers,St. Louis,.755
1885,,Wins,Bob Caruthers,St. Louis,40
1885,,Statistic,Name(s),Team(s),#
1886,,Statistic,Name(s),Team(s),#
1886,,Base on Balls,George Pinkney,Brooklyn,70
1886,,Batting Average,Guy Hecker,Louisville,.341
1886,,Doubles,Henry Larkin,Philadelphia,36
1886,,Hits,Dave Orr,New York,193
1886,,Home Runs,Bid McPhee,Cincinnati,8
1886,,On Base Percentage,Bob Caruthers,St. Louis,.448
1886,,RBI,Tip O'Neill,St. Louis,107
1886,,Runs,Arlie Latham,St. Louis,152
1886,,Slugging Average,Dave Orr,New York,.527
1886,,Total Bases,Dave Orr,New York,301
1886,,Triples,Dave Orr,New York,31
1886,,Statistic,Name(s),Team(s),#
1886,,Statistic,Name(s),Team(s),#
1886,,Complete Games,Matt Kilroy,Baltimore,66
1886,,ERA,Dave Foutz,St. Louis,2.11
1886,,Games,Matt Kilroy,Baltimore,68
1886,,Saves,Bones Ely,Louisville,1
1886,,Shutouts,Ed Morris,Pittsburgh,12
1886,,Strikeouts,Matt Kilroy,Baltimore,513
1886,,Winning Percentage,Dave Foutz,St. Louis,.719
1886,,Wins,Dave Foutz,St. Louis,41
1886,,Statistic,Name(s),Team(s),#
1887,,Statistic,Name(s),Team(s),#
1887,,Base on Balls,Paul Radford,New York,106
1887,,Batting Average,Tip O'Neill,St. Louis,.435
1887,,Doubles,Tip O'Neill,St. Louis,52
1887,,Hits,Pete Browning,Louisville,275
1887,,Home Runs,Tip O'Neill,St. Louis,14
1887,,On Base Percentage,Tip O'Neill,St. Louis,.490
1887,,RBI,Tip O'Neill,St. Louis,123
1887,,Runs,Tip O'Neill,St. Louis,167
1887,,Slugging Average,Tip O'Neill,St. Louis,.691
1887,,Total Bases,Tip O'Neill,St. Louis,357
1887,,Triples,Oyster Burns,Baltimore,19
1887,,Statistic,Name(s),Team(s),#
1887,,Statistic,Name(s),Team(s),#
1887,,Complete Games,Matt Kilroy,Baltimore,66
1887,,ERA,Elmer Smith,Cincinnati,2.94
1887,,Games,Matt Kilroy,Baltimore,69
1887,,Saves,Adonis Terry,Brooklyn,3
1887,,Shutouts,Matt Kilroy,Baltimore,6
1887,,Strikeouts,Toad Ramsey,Louisville,355
1887,,Winning Percentage,Bob Caruthers,St. Louis,.763
1887,,Wins,Matt Kilroy,Baltimore,46
1887,,Statistic,Name(s),Team(s),#
1888,,Statistic,Name(s),Team(s),#
1888,,Base on Balls,Yank Robinson,St. Louis,116
1888,,Batting Average,Tip O'Neill,St. Louis,.335
1888,,Doubles,Hub Collins,Louisville,31
1888,,Hits,Tip O'Neill,St. Louis,177
1888,,Home Runs,John Reilly,Cincinnati,13
1888,,On Base Percentage,Yank Robinson,St. Louis,.400
1888,,RBI,John Reilly,Cincinnati,103
1888,,Runs,George Pinkney,Brooklyn,134
1888,,Slugging Average,John Reilly,Cincinnati,.501
1888,,Total Bases,John Reilly,Cincinnati,264
1888,,Triples,Harry Stovey,Philadelphia,20
1888,,Statistic,Name(s),Team(s),#
1888,,Statistic,Name(s),Team(s),#
1888,,Complete Games,Silver King,St. Louis,64
1888,,ERA,Silver King,St. Louis,1.64
1888,,Games,Silver King,St. Louis,66
1888,,Saves,Bob Gilks,Cleveland,1
1888,,Shutouts,Silver King,St. Louis,6
1888,,Strikeouts,Ed Seward,Philadelphia,272
1888,,Winning Percentage,Nat Hudson,St. Louis,.714
1888,,Wins,Silver King,St. Louis,45
1888,,Statistic,Name(s),Team(s),#
1889,,Statistic,Name(s),Team(s),#
1889,,Base on Balls,Yank Robinson,St. Louis,118
1889,,Batting Average,Tommy Tucker,Baltimore,.372
1889,,Doubles,Curt Welch,Philadelphia,39
1889,,Hits,Tommy Tucker,Baltimore,196
1889,,Home Runs,Bug Holliday,Cincinnati,19
1889,,On Base Percentage,Tommy Tucker,Baltimore,.450
1889,,RBI,Harry Stovey,Philadelphia,119
1889,,Runs,Harry Stovey,Philadelphia,152
1889,,Slugging Average,Harry Stovey,Philadelphia,.525
1889,,Total Bases,Harry Stovey,Philadelphia,292
1889,,Triples,Lefty Marr,Columbus,15
1889,,Statistic,Name(s),Team(s),#
1889,,Statistic,Name(s),Team(s),#
1889,,Complete Games,Matt Kilroy,Baltimore,55
1889,,ERA,Jack Stivetts,St. Louis,2.25
1889,,Games,Mark Baldwin,Columbus,63
1889,,Saves,Tony Mullane,Cincinnati,5
1889,,Shutouts,Bob Caruthers,Brooklyn,7
1889,,Strikeouts,Mark Baldwin,Columbus,368
1889,,Winning Percentage,Bob Caruthers,Brooklyn,.784
1889,,Wins,Bob Caruthers,Brooklyn,40
1889,,Statistic,Name(s),Team(s),#
1890,,Statistic,Name(s),Team(s),#
1890,,Base on Balls,Jim McTamany,Columbus,112
1890,,Batting Average,Jimmy Wolf,Louisville,.363
1890,,Doubles,Cupid Childs,Syracuse,33
1890,,Hits,Jimmy Wolf,Louisville,197
1890,,Home Runs,Count Campau,St. Louis,9
1890,,On Base Percentage,Denny Lyons,Philadelphia,.461
1890,,RBI,Spud Johnson,Columbus,113
1890,,Runs,Jim McTamany,Columbus,140
1890,,Slugging Average,Denny Lyons,Philadelphia,.531
1890,,Total Bases,Jimmy Wolf,Louisville,260
1890,,Triples,Perry Werden,Toledo,20
1890,,Statistic,Name(s),Team(s),#
1890,,Statistic,Name(s),Team(s),#
1890,,Complete Games,Sadie McMahon,Philadelphia,55
1890,,ERA,Scott Stratton,Louisville,2.36
1890,,Games,Sadie McMahon,Philadelphia,60
1890,,Saves,Herb Goodall,Louisville,4
1890,,Shutouts,Elton Chamberlain,St. Louis,6
1890,,Strikeouts,Sadie McMahon,Philadelphia,291
1890,,Winning Percentage,Scott Stratton,Louisville,.708
1890,,Wins,Sadie McMahon,Philadelphia,36
1890,,Statistic,Name(s),Team(s),#
1891,,Statistic,Name(s),Team(s),#
1891,,Base on Balls,Dummy Hoy,St. Louis,119
1891,,Batting Average,Dan Brouthers,Boston,.350
1891,,Doubles,Jocko Milligan,Philadelphia,35
1891,,Hits,Tom Brown,Boston,189
1891,,Home Runs,Duke Farrell,Boston,12
1891,,On Base Percentage,Dan Brouthers,Boston,.471
1891,,RBI,Hugh Duffy,Boston,110
1891,,Runs,Tom Brown,Boston,177
1891,,Slugging Average,Dan Brouthers,Boston,.512
1891,,Total Bases,Tom Brown,Boston,276
1891,,Triples,Tom Brown,Boston,21
1891,,Statistic,Name(s),Team(s),#
1891,,Statistic,Name(s),Team(s),#
1891,,Complete Games,Sadie McMahon,Baltimore,53
1891,,ERA,Ed Crane,Cincinnati,2.45
1891,,Games,Jack Stivetts,St. Louis,64
1891,,Saves,Bill Daley,Boston,2
1891,,Shutouts,George Haddock,Boston,5
1891,,Strikeouts,Jack Stivetts,St. Louis,259
1891,,Winning Percentage,Charlie Buffinton,Boston,.763
1891,,Wins,Sadie McMahon,Baltimore,35
1891,,Statistic,Name(s),Team(s),#
